trace_file,cache_size,cache_size_label,cache_size_label_type,baseline_algorithm,cacheus_hit_rate,baseline_hit_rate,hit_rate_delta_pp
work/cloudvps/converted/vps26511.blk,16722,0.01,unique,arc,44.2,44.2,0.0
work/cloudvps/converted/vps26511.blk,16722,0.01,unique,lecar,44.2,41.96,2.24
work/cloudvps/converted/vps26511.blk,16722,0.01,unique,lfu,44.2,25.45,18.75
work/cloudvps/converted/vps26511.blk,16722,0.01,unique,lirs,44.2,44.08,0.12
work/cloudvps/converted/vps26511.blk,16722,0.01,unique,lru,44.2,41.34,2.86
work/cloudvps/converted/vps26511.blk,83614,0.05,unique,arc,56.57,55.73,0.84
work/cloudvps/converted/vps26511.blk,83614,0.05,unique,lecar,56.57,54.42,2.15
work/cloudvps/converted/vps26511.blk,83614,0.05,unique,lfu,56.57,42.14,14.43
work/cloudvps/converted/vps26511.blk,83614,0.05,unique,lirs,56.57,59.76,-3.19
work/cloudvps/converted/vps26511.blk,83614,0.05,unique,lru,56.57,49.37,7.2
work/cloudvps/converted/vps26511.blk,167229,0.1,unique,arc,70.03,67.64,2.39
work/cloudvps/converted/vps26511.blk,167229,0.1,unique,lecar,70.03,66.97,3.06
work/cloudvps/converted/vps26511.blk,167229,0.1,unique,lfu,70.03,58.96,11.07
work/cloudvps/converted/vps26511.blk,167229,0.1,unique,lirs,70.03,70.6,-0.57
work/cloudvps/converted/vps26511.blk,167229,0.1,unique,lru,70.03,62.61,7.42
work/cloudvps/converted/vps26535.blk,5451,0.001,unique,arc,6.42,6.37,0.05
work/cloudvps/converted/vps26535.blk,5451,0.001,unique,lecar,6.42,5.31,1.11
work/cloudvps/converted/vps26535.blk,5451,0.001,unique,lfu,6.42,4.28,2.14
work/cloudvps/converted/vps26535.blk,5451,0.001,unique,lirs,6.42,6.4,0.02
work/cloudvps/converted/vps26535.blk,5451,0.001,unique,lru,6.42,4.14,2.28
work/cloudvps/converted/vps26535.blk,27256,0.005,unique,arc,13.88,13.63,0.25
work/cloudvps/converted/vps26535.blk,27256,0.005,unique,lecar,13.88,9.3,4.58
work/cloudvps/converted/vps26535.blk,27256,0.005,unique,lfu,13.88,11.06,2.82
work/cloudvps/converted/vps26535.blk,27256,0.005,unique,lirs,13.88,16.17,-2.29
work/cloudvps/converted/vps26535.blk,27256,0.005,unique,lru,13.88,6.61,7.27
work/cloudvps/converted/vps26535.blk,54513,0.01,unique,arc,23.18,23.87,-0.69
work/cloudvps/converted/vps26535.blk,54513,0.01,unique,lecar,23.18,17.47,5.71
work/cloudvps/converted/vps26535.blk,54513,0.01,unique,lfu,23.18,16.02,7.16
work/cloudvps/converted/vps26535.blk,54513,0.01,unique,lirs,23.18,24.5,-1.32
work/cloudvps/converted/vps26535.blk,54513,0.01,unique,lru,23.18,12.97,10.21
work/cloudvps/converted/vps26535.blk,272566,0.05,unique,arc,33.02,35.47,-2.45
work/cloudvps/converted/vps26535.blk,272566,0.05,unique,lecar,33.02,30.33,2.69
work/cloudvps/converted/vps26535.blk,272566,0.05,unique,lfu,33.02,27.69,5.33
work/cloudvps/converted/vps26535.blk,272566,0.05,unique,lirs,33.02,35.35,-2.33
work/cloudvps/converted/vps26535.blk,272566,0.05,unique,lru,33.02,27.3,5.72
work/cloudvps/converted/vps26535.blk,545133,0.1,unique,arc,38.51,42.15,-3.64
work/cloudvps/converted/vps26535.blk,545133,0.1,unique,lecar,38.51,39.89,-1.38
work/cloudvps/converted/vps26535.blk,545133,0.1,unique,lfu,38.51,36.73,1.78
work/cloudvps/converted/vps26535.blk,545133,0.1,unique,lirs,38.51,41.91,-3.4
work/cloudvps/converted/vps26535.blk,545133,0.1,unique,lru,38.51,35.19,3.32
